지역,행정구역,시군구,년도,사고건수,사망자수,중상자수,경상자수,부상신고자수,총등록대수(대),총인구수,노인수,노인비율,토지면적(㎡),도로면적(㎡),교통사고 사상자 수,교통안전도 평가지수
강원 춘천시,강원,춘천시,2016,71,7,40,21,4,124088.0,280707.0,41699,14.85499115,"1,116,409,986.1","21,658,742.1",41.3,0.004285668235445813
강원 춘천시,강원,춘천시,2017,84,12,47,26,3,127750.0,280514.0,43914,15.65483363,"1,116,403,402.9","21,798,034.8",52.699999999999996,0.005105283757338552
강원 춘천시,강원,춘천시,2018,65,0,40,30,1,131605.0,280640.0,45532,16.22434436,"1,116,358,004.1","21,986,705.5",37.0,0.003662474829983663
강원 춘천시,강원,춘천시,2019,77,7,42,27,3,134390.0,281291.0,47645,16.93797526,"1,116,373,900.4","22,604,790.8",44.5,0.00427859215715455
강원 춘천시,강원,춘천시,2020,54,3,28,23,2,139153.0,282765.0,50567,17.88304776,"1,116,401,656.5","22,875,969.1",29.499999999999996,0.0028242294452868423
강원 춘천시,강원,춘천시,2021,62,4,33,18,10,142993.0,284594.0,52955,18.60720887,"1,116,417,909.6","22,994,834.9",32.5,0.00309805375088291
강원 춘천시,강원,춘천시,2022,70,1,33,29,8,147904.0,286664.0,55802,19.46599503,"1,116,409,316.3","23,113,485.4",32.8,0.0032237126784941577
강원 춘천시,강원,춘천시,2023,73,4,37,28,9,149835.0,361503.0,58611,16.21314346,"1,116,415,789.6","23,195,191.4",38.3,0.0034824974138218706
강원 태백시,강원,태백시,2012,12,1,8,3,0,19651.0,49493.0,8014,16.19218879,"303,479,335.6","4,009,233.3",7.5,0.004732583583532645
강원 태백시,강원,태백시,2013,17,1,11,8,0,19808.0,48794.0,8379,17.1721933,"303,444,888.6","4,012,719.3",11.1,0.006795234248788369
강원 태백시,강원,태백시,2014,17,2,7,6,2,20207.0,48258.0,8716,18.06125409,"303,466,994.1","4,041,511.4",8.7,0.005948433711090216
강원 태백시,강원,태백시,2015,13,1,9,5,1,20492.0,47501.0,9010,18.96802173,"303,475,779.3","4,036,387.8",8.8,0.005114190903767324
강원 태백시,강원,태백시,2016,15,1,8,6,0,20981.0,47070.0,9266,19.68557468,"303,475,689.1","4,049,380.9",8.399999999999999,0.005261903627091177
강원 태백시,강원,태백시,2017,12,0,7,4,1,21036.0,45888.0,9626,20.97716179,"303,495,317.1","4,101,978.1",6.1,0.0040216771249286945
강원 태백시,강원,태백시,2018,22,1,15,5,1,21055.0,44858.0,9940,22.15881225,"303,530,036.3","4,313,706.7",13.0,0.007884113037283307
강원 태백시,강원,태백시,2019,16,1,10,5,0,20988.0,43866.0,10324,23.53531209,"303,521,188.1","4,324,019.9",9.5,0.005765199161425577
강원 태백시,강원,태백시,2020,10,0,8,1,1,21015.0,42719.0,10760,25.18785552,"303,488,906.3","4,514,363.2",5.8999999999999995,0.0035879133951939087
강원 태백시,강원,태백시,2021,17,1,8,8,1,20831.0,40844.0,10802,26.44696896,"303,447,974.2","4,522,648.1",9.0,0.005856655945465892
강원 태백시,강원,태백시,2022,9,1,3,5,0,20932.0,39428.0,10964,27.80764939,"303,443,266.8","4,565,045.6",4.6,0.0030384100898146376
강원 태백시,강원,태백시,2023,14,0,8,5,1,21177.0,82054.0,11300,13.77141882,"303,438,427.5","4,577,276.1",7.1,0.00465599471124333
강원 평창군,강원,평창군,2012,3,1,1,1,0,21526.0,43627.0,8992,20.61108946,"1,463,565,893.5","18,253,458.2",2.0,0.001114930781380656
강원 평창군,강원,평창군,2013,16,2,10,4,0,22028.0,43666.0,9318,21.33925709,"1,463,696,218.5","18,279,581.2",10.2,0.005683675322317051
강원 평창군,강원,평창군,2014,9,1,3,4,2,22798.0,43660.0,9530,21.82775996,"1,463,765,960.7","18,456,801.7",4.3,0.0027107641021142203
강원 평창군,강원,평창군,2015,10,4,4,2,0,23584.0,43500.0,9694,22.28505747,"1,463,828,031.1","18,575,661.2",7.3999999999999995,0.0035786974219810036
강원 평창군,강원,평창군,2016,10,1,7,3,0,24450.0,43318.0,9837,22.70880465,"1,463,831,418.6","18,778,716.6",6.799999999999999,0.0033047034764826172
